#WL	Real	Imag
0.1240	0.9980	0.0000
0.1550	1.0000	0.0000
0.2070	1.0040	0.0000
0.2480	1.0020	0.0000
0.2760	1.0020	0.0000
0.3100	1.0060	0.0001
0.3440	1.0060	0.0001
0.3540	1.0060	0.0000
0.4130	1.0020	0.0000
0.4960	1.0020	0.0000
0.6200	1.0020	0.0001
0.8270	0.9980	0.0002
1.2400	0.9960	0.0010
1.5500	0.9940	0.0022
1.6800	0.9960	0.0028
2.0700	0.9940	0.0054
2.4800	0.9940	0.0091
3.1000	0.9959	0.0176
3.3500	1.0140	0.0166
3.5400	1.0020	0.0034
4.1300	0.9920	0.0046
4.4300	0.9880	0.0054
4.7700	0.9841	0.0062
5.1700	0.9781	0.0069
5.6400	0.9742	0.0068
6.2000	0.9643	0.0074
6.8900	0.9565	0.0084
7.2900	0.9467	0.0086
7.7500	0.9370	0.0085
8.2700	0.9274	0.0078
8.8600	0.9120	0.0068
9.5400	0.8892	0.0069
10.3000	0.8574	0.0115
11.3000	0.8133	0.0310
11.8000	0.7914	0.0465
12.4000	0.7659	0.0669
13.1000	0.7381	0.0973
13.8000	0.7140	0.1399
14.6000	0.7034	0.1878
15.5000	0.6998	0.2357
15.9000	0.7020	0.2536
16.3000	0.7026	0.2695
16.8000	0.7001	0.2832
17.2000	0.6914	0.3081
17.7000	0.6991	0.3384
18.2000	0.7154	0.3623
18.8000	0.7352	0.3726
19.4000	0.7391	0.3717
20.0000	0.7316	0.3718
20.7000	0.7133	0.3859
21.4000	0.6973	0.4114
22.1000	0.6916	0.4512
23.0000	0.7081	0.4850
23.4000	0.7165	0.4895
23.8000	0.7141	0.4907
24.3000	0.7060	0.4979
24.8000	0.6974	0.5127
25.3000	0.7432	0.3540
25.8000	0.6931	0.5488
26.4000	0.6970	0.5662
27.0000	0.6985	0.5788
28.2000	0.6966	0.6005
29.5000	0.6828	0.6261
31.0000	0.6674	0.6595
31.8000	0.6581	0.6766
32.6000	0.6451	0.6922
33.5000	0.6232	0.7080
34.4000	0.5927	0.7323
35.4000	0.5421	0.7854
36.5000	0.5335	0.8597
37.6000	0.5440	0.9242
38.7000	0.5695	0.9726
40.0000	0.5835	0.9954
41.3000	0.5741	1.0073
42.8000	0.5343	1.0238
43.5000	0.5027	1.0422
44.3000	0.4655	1.0644
45.1000	0.3447	1.0484
45.9000	0.3625	1.1518
45.9000	0.6187	0.7038
46.8000	0.6078	0.7460
47.7000	0.5896	0.7877
48.6000	0.5749	0.8340
50.6000	0.5484	0.9459
52.8000	0.5482	1.1014
53.9000	0.5834	1.2034
55.1000	0.6695	1.2842
56.4000	0.7774	1.3223
57.7000	0.8778	1.2895
59.0000	0.9152	1.2443
60.5000	0.9196	1.2133
62.0000	0.9053	1.2034
65.3000	0.8820	1.2385
68.9000	0.8606	1.3058
72.9000	0.8534	1.4237
77.5000	0.9049	1.5778
80.0000	0.9673	1.6612
82.7000	1.0648	1.7228
85.5000	1.1799	1.7396
88.6000	1.2805	1.7161
91.8000	1.3533	1.6604
95.4000	1.3841	1.5943
99.2000	1.3835	1.5464
102.5000	1.3733	1.5199
105.1000	1.3663	1.5074
