#wavelength	Real	Imag	
101.2	-0.777188	0.470016
103.3	-0.86132	0.494982
105.5	-0.953019	0.52318 
107.8	-1.054431	0.55756
110.2	-1.160811	0.59274
112.7	-1.271616	0.63104
115.3	-1.386816	0.67276
118.1	-1.505804	0.72072
121	-1.655375	0.7788
124	-1.810764	0.84456
127.2	-2.001376	0.9222
130.5	-2.169876	1.00264
134	-2.375296	1.09968
137.8	-2.620911	1.21844
141.7	-2.841579	1.34594
145.9	-3.141004	1.50696
150.3	-3.412864	1.6872
155	-3.771516	1.912
160	-4.142711	2.1714
165.3	-4.567131	2.48846
171	-5.000476	2.86752
177.1	-5.537376	3.3418
183.7	-6.084864	3.90096
190.7	-6.735491	4.62462
198.4	-7.415076	5.59504
206.6	-8.0704	6.771
206.6	-7.442181	5.87618
207.3	-7.499888	6.066816
208	-7.57302	6.158848
208.7	-7.489613	6.261684
209.4	-7.634469	6.34082
210.1	-7.719435	6.459012
210.9	-7.738425	6.499712
211.6	-7.815621	6.62302
212.3	-7.860344	6.68727
213	-7.898464	6.76995
213.8	-8.5748	7.8864
213.8	-7.988336	6.89997
214.5	-8.0724	6.972958
215.3	-8.109304	7.09863
216	-8.1685	7.184208
216.8	-8.241779	7.2897
217.5	-8.292144	7.34432
218.3	-8.4002	7.49265
219.1	-8.455979	7.6293
219.8	-8.549277	7.745036
220.6	-8.650875	7.8793
221.4	-9.1289	9.324
221.4	-8.723427	7.995764
222.2	-8.819759	8.16684
223	-8.891625	8.3072
223.8	-8.985888	8.487666
224.6	-9.051464	8.66583
225.4	-9.2799	10.268
225.4	-9.107604	8.84936
226.3	-9.160717	9.040956
227.1	-9.186235	9.261852
227.9	-9.217444	9.4872
228.8	-9.194856	9.70751
229.6	-9.144	11.2832
229.6	-9.166115	9.902772
230.5	-9.08742	10.117472
231.3	-9.014748	10.279136
232.2	-8.920192	10.414944
233.1	-8.823808	10.517256
233.9	-8.6339	11.97
233.9	-8.749368	10.588774
234.8	-8.683491	10.60682
235.7	-8.654236	10.63392
236.6	-8.651055	10.640608
237.5	-8.667945	10.656848
238.4	-8.1212	11.9616
238.4	-8.724395	10.659012
239.4	-8.794373	10.667436
240.3	-8.894652	10.681664
241.2	-8.99208	10.702462
242.2	-9.140135	10.721568
243.1	-8.738	11.7648
243.1	-9.29	10.773918
244.1	-9.444501	10.83614
245	-9.627768	10.910826
246	-9.819392	10.988544
247	-10.020328	11.086554
248	-9.994	12.0288
248	-10.244325	11.1941
249	-10.464979	11.3337
250	-10.695024	11.47712
251	-10.959844	11.62656
252	-11.2254	11.802038
253	-11.504592	11.974306
254.1	-11.770857	12.185424
255.1	-12.089301	12.41006
256.2	-12.400759	12.64104
257.2	-12.729735	12.907408
258.3	-13.083477	13.194364
259.4	-13.450032	13.487726
260.5	-13.84888	13.833792
261.6	-14.279832	14.214474
262.7	-14.715352	14.629014
263.8	-15.189588	15.092784
264.9	-15.704064	15.6078
266.1	-16.236915	16.208012
267.2	-16.79216	16.888488
268.4	-17.354771	17.68986
269.5	-17.93154	18.599728
270.7	-18.456215	19.618152
271.9	-18.933201	20.75372
273.1	-19.343733	22.040644
274.3	-19.6392	23.441458
275.5	-19.819323	24.911964
276.8	-19.88672	26.481312
278	-19.812436	28.1124
279.2	-19.61016	29.786162
280.5	-19.28774	31.548192
281.8	-18.823936	33.34656
283.1	-18.216432	35.267074
284.4	-17.45026	37.291632
285.7	-16.333269	39.50158
287	-14.76792	41.869422
288.3	-12.410629	44.08794
289.7	-9.455477	45.779436
291	-6.129339	46.6799
292.4	-2.931525	46.756908
293.8	-0.067319	46.24332
295.2	2.372223	45.350864
296.6	4.343081	44.27136
298	5.978304	43.15059
299.5	7.316385	42.031592
300.9	8.424748	40.958064
302.4	9.367959	39.94916
303.9	10.117216	39.01317
305.4	10.775596	38.13192
306.9	11.341924	37.33392
308.4	11.827725	36.6095
310	12.233531	35.94174
311.5	12.63624	35.353522
313.1	13.010571	34.83954
314.7	13.33204	34.351722
316.3	13.655148	33.941264
317.9	13.96454	33.567072
319.5	14.254341	33.23902
321.2	14.565216	32.93995
322.9	14.891036	32.67936
324.6	15.212183	32.443944
326.3	15.529101	32.23366
328	15.848525	32.038332
329.7	16.174641	31.87432
331.5	16.534616	31.74369
333.3	16.877715	31.615172
335.1	17.232972	31.534096
336.9	17.58652	31.477962
338.8	17.955175	31.442568
340.6	18.321312	31.459234
342.5	18.708096	31.51339
344.4	19.125447	31.638304
346.3	19.574607	31.834576
348.3	20.072433	32.125744
350.2	20.681243	32.532276
352.2	21.421224	33.07897
354.2	22.387904	33.81708
356.3	23.710613	34.696116
358.3	25.600707	35.635124
360.4	28.183597	36.314796
362.5	31.490703	36.346696
364.7	35.219459	35.28402
366.8	38.791089	32.88584
369	41.481055	29.481048
371.2	43.138341	25.54046
373.4	43.75836	21.362458
375.7	43.26564	17.725178
378	42.130125	14.6187
380.3	40.735279	12.19428
382.7	39.227631	10.29508
385	37.744429	8.83218
387.5	36.350944	7.63812
389.9	35.063983	6.673656
392.4	33.873939	5.90042
394.9	32.7856	5.238528
397.4	31.79466	4.704128
400	30.875131	4.31118
402.5	30.047024	3.90003
405.2	29.268159	3.56636
407.8	28.513832	3.348474
410.5	27.835975	3.075288
413.3	27.196923	2.809436
416.1	26.601871	2.63364
418.9	26.042345	2.493192
421.7	25.53138	2.306448
424.6	25.04556	2.113798
427.5	24.570312	2.014166
430.5	24.12942	1.907408
433.5	23.702159	1.80264
436.6	23.304336	1.78747
439.7	22.924781	1.62894
442.8	22.56444	1.549478
446	22.237323	1.405964
449.2	21.898923	1.395236
452.5	21.586215	1.236368
455.8	21.281064	1.20913
459.2	20.986989	1.19158
462.6	20.712648	1.192886
466.1	20.430528	1.211896
469.6	20.190625	1.0788
473.2	19.930756	1.07184
476.9	19.723264	0.79956
480.6	19.49222	0.830208
484.3	19.273992	0.728906
488.1	19.064448	0.689986
492	18.85572	0.668822
495.9	18.657071	0.63072
499.9	18.467475	0.627508
504	18.288373	0.564564
508.1	18.099841	0.61272
512.3	17.931625	0.5082
516.6	17.762625	0.5058
520.9	17.60328	0.469952
525.4	17.44452	0.442762
529.9	17.295432	0.357674
534.4	17.137575	0.3726
539.1	16.996825	0.395808
543.8	16.8573	0.361328
548.6	16.717985	0.359832
553.5	16.588305	0.260672
558.5	16.457805	0.308332
563.6	16.33674	0.258688
568.7	16.20752	0.273768
574	16.095244	0.24072
579.4	15.97528	0.215838
584.8	15.863389	0.23898
590.4	15.752061	0.23814
596.1	15.649207	0.213624
601.9	15.546624	0.19715
607.8	15.452136	0.19655
613.8	15.350148	0.188064
619.9	15.256352	0.171864
626.2	15.154965	0.171292
632.6	15.069563	0.147516
639.1	14.976576	0.13932
645.8	14.883875	0.131172
652.6	14.799153	0.123104
659.5	14.722313	0.122784
666.6	14.638051	0.11478
673.8	14.554029	0.10682
681.2	14.477856	0.09893
688.8	14.409447	0.098696
696.5	14.3412	0.098462
704.5	14.27314	0.090672
712.6	14.197703	0.082896
720.8	14.145	0.082742
729.3	14.077404	0.07504
738	14.024925	0.0749
